gid,d_name,area,
다사416437,오류2동,10000,오류2동
다사454449,구로5동,10000,구로5동
다사427439,개봉2동,10000,개봉2동
다사435445,고척1동,10000,고척1동
다사464436,구로3동,10000,구로3동
다사401444,수궁동,10000,수궁동
다사452444,구로2동,10000,구로2동
다사406436,오류2동,10000,오류2동
다사447431,구로1동,5633.395,구로1동
다사448435,구로1동,10000,구로1동
다사440448,고척1동,10000,고척1동
다사463433,구로3동,10000,구로3동
다사449452,구로2동,164.051,구로2동
다사449452,구로2동,9835.949,구로2동
다사404437,수궁동,9857.233,수궁동
다사404437,수궁동,142.767,수궁동
다사413425,오류2동,10000,오류2동
다사428445,개봉1동,10000,개봉1동
다사454431,가리봉동,10000,가리봉동
다사409435,오류2동,10000,오류2동
다사454450,구로5동,381.073,구로5동
다사454450,구로5동,9618.927,구로5동
다사430435,개봉3동,10000,개봉3동
다사452450,구로5동,8593.763,구로5동
다사452450,구로5동,1406.237,구로5동
다사459449,구로5동,10000,구로5동
다사401422,항동,10000,항동
다사425453,고척2동,10000,고척2동
다사462450,구로5동,10000,구로5동
다사406446,수궁동,10000,수궁동
다사431444,개봉1동,3396.754,개봉1동
다사431444,개봉1동,6603.246,개봉1동
다사426440,개봉2동,10000,개봉2동
다사456430,가리봉동,8514.149,가리봉동
다사456430,가리봉동,1485.851,가리봉동
다사411449,수궁동,10000,수궁동
다사419439,오류2동,10000,오류2동
다사399430,항동,10000,항동
다사429451,고척2동,10000,고척2동
다사436437,개봉2동,7636.196,개봉2동
다사436437,개봉2동,2273.137,개봉2동
다사459436,구로4동,10000,구로4동
다사409434,오류2동,10000,오류2동
다사454446,구로2동,208.696,구로2동
다사454446,구로2동,9791.304,구로2동
다사461437,구로4동,10000,구로4동
다사422448,개봉1동,10000,개봉1동
다사420426,오류2동,10000,오류2동
다사432444,고척1동,6658.628,고척1동
다사432444,고척1동,3341.372,고척1동
다사449455,신도림동,10000,신도림동
다사420446,오류1동,7707.048,오류1동
다사420446,오류1동,2292.952,오류1동
다사458432,구로4동,2190.85,구로4동
다사458432,구로4동,7809.15,구로4동
다사440450,고척1동,10000,고척1동
다사453462,신도림동,10000,신도림동
다사437450,고척1동,10000,고척1동
다사408438,오류2동,10000,오류2동
다사455458,신도림동,10000,신도림동
다사416432,오류2동,10000,오류2동
다사428448,고척2동,6381.254,고척2동
다사428448,고척2동,3618.746,고척2동
다사457433,구로4동,10000,구로4동
다사458444,구로5동,9429.524,구로5동
다사458444,구로5동,570.476,구로5동
다사449439,구로1동,10000,구로1동
다사409447,수궁동,10000,수궁동
다사457435,구로4동,10000,구로4동
다사421427,오류2동,10000,오류2동
다사457436,구로2동,1288.641,구로2동
다사457436,구로2동,8711.359,구로2동
다사461441,구로4동,10000,구로4동
다사407449,수궁동,10000,수궁동
다사423449,개봉1동,10000,개봉1동
다사456456,신도림동,10000,신도림동
다사399426,항동,10000,항동
다사432447,고척1동,10000,고척1동
다사431433,개봉3동,10000,개봉3동
다사398444,수궁동,10000,수궁동
다사435441,개봉1동,10000,개봉1동
다사453431,가리봉동,9946.177,가리봉동
다사419443,오류1동,10000,오류1동
다사399442,수궁동,10000,수궁동
다사458433,구로4동,10000,구로4동
다사460453,구로5동,10000,구로5동
다사407435,오류2동,10000,오류2동
다사408444,수궁동,10000,수궁동
다사416436,오류2동,10000,오류2동
다사424447,개봉1동,10000,개봉1동
다사405448,수궁동,10000,수궁동
다사450448,구로2동,10000,구로2동
다사462443,구로5동,3446.775,구로5동
다사462443,구로5동,6553.225,구로5동
다사416440,오류1동,9742.214,오류1동
다사416440,오류1동,257.786,오류1동
다사449454,신도림동,10000,신도림동
다사449445,구로1동,10000,구로1동
다사402423,항동,10000,항동
다사427442,개봉2동,5128.891,개봉2동
다사427442,개봉2동,4871.109,개봉2동
