gid,lbl,val_200,d_name,cctv_20,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사414426,44,44,오류2동,8.964,0,2,1.095,1,12.006,307
다사432452,578,578,고척2동,9.572,0,3.5,1.095,1,14.314,57
다사453437,206,206,구로2동,5.131,1,3.5,1,1.041,10.026,529
다사417445,868,868,오류1동,9.792,0,2.5,1.095,1,13.46,127
다사456433,288,288,구로4동,3.96,1.6,3,1,1.041,8.911,632
다사425455,157,157,고척2동,3.183,0,2.5,1,1.041,5.916,913
다사417448,786,786,개봉1동,0.624,0,3.5,1,1,4.124,1066
다사455447,1157,1157,구로5동,5.083,0,3,1.095,1,8.851,640
다사404431,N/A,0,항동,0,0,1,1,1,1,1330
다사452439,297,297,구로2동,8.371,0,4,1,1.041,12.878,223
다사425441,391,391,개봉2동,1.796,0,3,1,1.041,4.993,985
다사418425,572,572,오류2동,10,0,3,1.095,1,14.235,62
다사448450,N/A,0,구로2동,0,0,1.5,1,1,1.5,1267
다사458426,120,120,가리봉동,5.526,0.455,3,1.095,1.041,10.237,508
다사461428,221,221,가리봉동,1.077,0,2,1,1.041,3.203,1146
다사428452,242,242,고척2동,2.179,0,3,1,1.041,5.391,955
다사438442,484,484,고척1동,9.091,0,3.5,1.095,1,13.787,89
다사454430,81,81,가리봉동,3.095,0,1,1,1.041,4.263,1053
다사434452,281,281,고척2동,6.949,0,3,1.095,1,10.894,449
다사460432,341,341,구로3동,1.218,0.63,2.5,1,1,4.348,1041
다사464438,564,564,구로4동,5.715,0,3,1,1,8.715,652
다사429446,331,331,개봉1동,2.549,0,1.5,1,1.041,4.215,1057
다사455446,13,13,구로5동,4.44,0.225,3,1,1,7.665,743
다사422438,101,101,오류2동,4.876,0,2.5,1,1.041,7.678,742
다사454433,464,464,구로2동,6.365,0.715,1.5,1,1.041,8.932,630
다사436447,136,136,고척1동,5.347,0,2.5,1,1,7.847,729
다사466423,274,274,구로3동,4.018,0,3.5,1,1,7.518,757
다사410447,74,74,수궁동,8.821,0,1,1,1.041,10.224,510
다사437440,520,520,개봉1동,10,0,4,1.095,1,15.33,17
다사401421,65,65,항동,10,0,2,1,1,12,310
다사427440,406,406,개봉2동,4.13,0,4,1,1.041,8.463,669
다사401427,637,637,항동,10,0,2,1.095,1,13.14,140
다사429435,531,531,개봉3동,2.049,0.625,3,1.095,1.041,6.468,868
다사433435,319,319,개봉2동,4.509,0,1.5,1.095,1.041,6.85,834
다사437447,N/A,0,고척1동,0,0.555,4,1,1,4.555,1025
다사402424,748,748,항동,10,0,2,1.095,1,13.14,140
다사424427,819,819,개봉3동,10,0,2.5,1,1,12.5,255
다사398421,239,239,항동,10,0,2,1.095,1,13.14,140
다사426450,193,193,고척2동,1.989,0.315,2.5,1,1.041,5.001,983
다사461435,42,42,구로4동,5.164,0.5,3,1,1.041,9.019,625
다사398438,205,205,수궁동,0.4,0.435,2,1,1.041,2.951,1169
다사400437,405,405,수궁동,8.798,0,3.5,1,1,12.298,279
다사456448,298,298,구로5동,9.883,0,3,1,1.041,13.411,130
다사459433,353,353,구로4동,5.724,0.96,3.5,1,1,10.184,514
다사459451,395,395,구로5동,10,0,3,1.095,1,14.235,62
다사417437,370,370,오류2동,5.566,0.285,4,1,1,9.851,548
다사455454,593,593,신도림동,8.579,0.12,3.5,1.095,1,13.358,134
다사466425,549,549,구로3동,7.844,0,4,1.095,1,12.969,219
다사468427,427,427,구로3동,3.291,0,3.5,1.095,1,7.436,771
다사457448,301,301,구로5동,4.888,0,3.5,1,1.041,8.732,650
다사403439,N/A,0,수궁동,0,0,1,1,1,1,1330
다사432455,366,366,고척2동,10,0,3.5,1.095,1,14.782,46
다사457458,420,420,신도림동,7.975,0,3,1,1,10.975,443
다사402444,90,90,수궁동,5.922,0,1,1,1,6.922,825
다사448442,438,438,구로1동,8.448,0,4,1.095,1,13.631,108
다사424456,53,53,고척2동,8.691,0,1,1,1,9.691,560
다사448440,378,378,구로1동,9.376,0,3,1.095,1,13.552,114
다사452455,520,520,신도림동,8.261,0,2.5,1.095,1,11.783,356
다사456442,260,260,구로2동,1.715,0,2,1,1.041,3.867,1093
다사462439,233,233,구로4동,0.237,0.75,3,1,1.041,4.15,1062
다사413427,263,263,오류2동,0.426,0,2.5,1.095,1,3.204,1145
다사469426,369,369,구로3동,3.695,0.6,4,1.095,1,9.083,617
다사436453,794,794,고척2동,7.988,0,3.5,1.095,1,12.579,249
다사415429,267,267,오류2동,4.855,0,2,1,1,6.855,833
다사418421,189,189,오류2동,10,0,3,1.095,1,14.235,62
다사418449,201,201,개봉1동,4.83,0,3,1,1.041,8.151,695
다사419438,183,183,오류2동,0.753,0,3,1,1.041,3.907,1090
다사465436,331,331,구로3동,6.033,0,1,1,1,7.033,810
다사429430,213,213,개봉3동,6.505,0,1.5,1,1.041,8.333,682
다사462442,867,867,구로4동,7.969,0,4,1.095,1,13.106,193
다사413433,227,227,오류2동,6.905,0,3,1,1,9.905,544
다사452458,34,34,신도림동,1.541,0,2.5,1,1.041,4.207,1058
다사403440,294,294,수궁동,4.754,0,1,1.095,1,6.301,881
다사413436,38,38,오류2동,10,0,1,1,1,11,431
다사423446,288,288,개봉1동,7.619,0,3,1,1.041,11.054,426
다사426430,1091,1091,개봉3동,5.76,0,3.5,1,1.041,9.64,566
다사427449,316,316,고척2동,0.688,0.835,1.5,1,1.041,3.147,1151
다사435438,359,359,개봉2동,4.487,0,2.5,1,1,6.987,815
다사399422,215,215,항동,10,0,2,1.095,1,13.14,140
다사461432,451,451,구로3동,7.903,0,3.5,1,1,11.403,401
다사449458,12,12,신도림동,4.109,0,1,1,1,5.109,971
다사459457,376,376,신도림동,2.481,0,3.5,1.095,1,6.549,862
다사420443,337,337,오류1동,6.478,0.795,3,1.095,1,11.249,414
다사442448,101,101,고척1동,5.943,0,1,1,1.041,7.228,790
다사416434,435,435,오류2동,5.184,0,4,1,1.041,9.561,573
다사452434,119,119,구로2동,1.879,0,2,1,1.041,4.038,1073
다사469427,574,574,구로3동,0.622,0.485,4,1.095,1,5.592,938
다사414436,338,338,오류2동,6.562,0,0,1.095,1,7.185,796
다사460430,271,271,구로3동,1.806,0,3,1,1,4.806,1008
다사407436,213,213,오류2동,10,0,1,1.095,1,12.045,294
다사455453,70,70,신도림동,10,0,3.5,1.095,1.041,15.389,16
다사460445,66,66,구로5동,8.555,0,2,1,1.041,10.988,442
다사403426,259,259,항동,10,0,3,1.095,1.041,14.819,43
다사412435,6,6,오류2동,6.87,0,3,1,1.041,10.275,506
다사416437,420,420,오류2동,7.231,0,4,1,1,11.231,415
다사454449,508,508,구로5동,9.153,1.19,4,1.095,1,15.706,13
다사427439,609,609,개봉2동,0.29,0,3.5,1,1.041,3.945,1086
다사435445,11,11,고척1동,10,0,2,1,1,12,310
다사464436,318,318,구로3동,0.013,0,3,1,1.041,3.137,1152
다사401444,71,71,수궁동,3.128,0,1,1,1,4.128,1064
다사452444,200,200,구로2동,1.672,0,2.5,1.095,1.041,4.756,1010
다사406436,26,26,오류2동,9.167,0,1,1,1,10.167,516
다사447431,324,324,구로1동,10,0,1.5,1,1,11.5,374
다사448435,201,201,구로1동,7.148,0,3,1,1,10.148,518
다사440448,13,13,고척1동,6.535,0,1.5,1,1,8.035,704
다사463433,770,770,구로3동,3.214,0,3.5,1.095,1,7.352,777
다사449452,364,364,구로2동,10,0.075,2.5,1.095,1,13.77,90
다사404437,6,6,수궁동,6.808,0,1,1,1,7.808,732
다사413425,64,64,오류2동,10,0,1.5,1,1,11.5,374
다사428445,114,114,개봉1동,4.693,0,2.5,1,1.041,7.488,763
다사454431,246,246,가리봉동,0.003,0,2,1,1.041,2.085,1221
다사409435,373,373,오류2동,2.977,0,2.5,1,1,5.477,948
다사454450,211,211,구로5동,10,0,3,1,1,13,202
다사430435,197,197,개봉3동,5.721,0,2.5,1,1.041,8.558,661
다사452450,99,99,구로5동,5.285,0.315,2.5,1.095,1,8.87,638
다사459449,503,503,구로5동,6.974,0.455,3.5,1.095,1,11.967,340
다사401422,82,82,항동,10,0,2,1.095,1,13.14,140
다사425453,413,413,고척2동,3.336,0,2,1,1.041,5.555,943
다사462450,1290,1290,구로5동,4.796,0,4,1.095,1,9.632,567
다사406446,63,63,수궁동,5.713,0,2,1,1,7.713,740
다사431444,279,279,개봉1동,7.139,1,3.5,1,1,11.639,367
다사426440,454,454,개봉2동,4.551,0,3,1,1.041,7.861,728
다사456430,265,265,가리봉동,1.082,1.255,2,1,1.041,4.515,1030
다사411449,6,6,수궁동,6.587,0,1,1,1.041,7.898,721
다사419439,234,234,오류2동,2.311,0.68,4,1,1.041,7.278,786
다사399430,172,172,항동,7.93,0,3.5,1,1.041,11.899,347
다사429451,378,378,고척2동,2.851,0,3,1,1.041,6.091,899
