"d_code","j_code","month","flow1_tot","flow2_tot"
11530540,1117054040001,202011,3153.4831,5078.6075
11530540,1117054040002,202011,3965.2719,4888.671
11530540,1117054040003,202011,2755.3002,5899.1327
11530540,1117054040004,202011,42031.4845,23100.4604
11530540,1117054040005,202011,3885.8497,4808.3721
11530540,1117054040006,202011,5900.3413,8537.4685
11530540,1117054040007,202011,3988.1522,7278.1293
11530540,1117054040008,202011,7615.2068,10557.6051
11530540,1117054040009,202011,4870.4635,7946.3074
11530540,1117054040010,202011,4208.1401,7849.7209
11530540,1117054040011,202011,361.024,189.3838
11530540,1117054040301,202011,2693.7196,4923.3702
11530550,1.117055e+12,202011,418289.5747,418998.9079
11530550,1117055010001,202011,1818.8198,3391.8667
11530550,1117055010002,202011,2169.0902,2976.9349
11530550,1117055010003,202011,2764.9523,3793.5423
11530550,1117055010004,202011,6869.0393,11227.6842
11530550,1117055010005,202011,3313.4323,1791.2709
11530550,1117055010006,202011,13906.5773,7963.8562
11530550,1117055010201,202011,751.7231,1917.2269
11530550,1117055010601,202011,704.7784,0
11530550,1117055010602,202011,2362.2953,1724.0377
11530550,1117055010603,202011,1467.3823,154.4025
11530550,1117055010701,202011,1114.847,2789.9724
11530550,1117055010801,202011,2786.0631,7296.4038
11530550,1117055010901,202011,1486.5238,3183.0478
11530550,1117055011001,202011,1799.0084,1906.1385
11530550,1117055011002,202011,3981.0005,195.812
11530550,1117055011401,202011,1375.2381,3783.3598
11530550,1117055011601,202011,2843.2892,2843.587
11530550,1117055011801,202011,1388.1808,2854.6488
11530550,1117055020001,202011,2426.0699,2254.4838
11530550,1117055020002,202011,1109.6861,2231.8116
11530550,1117055020003,202011,2282.2104,1909.4802
11530550,1117055020004,202011,2611.7762,2296.6283
11530550,1117055020005,202011,1531.0308,2961.0528
11530550,1117055020006,202011,5993.5861,3265.407
11530550,1117055020007,202011,1158.8991,1965.6434
11530550,1117055020008,202011,368.2281,1106.0913
11530550,1117055020009,202011,1271.6926,2394.3743
11530550,1117055020010,202011,2919.8723,1807.3847
11530550,1117055020011,202011,988.0292,2016.791
11530550,1117055020012,202011,697.6908,750.4502
11530550,1117055020013,202011,5327.9542,4228.1533
11530550,1117055020014,202011,1439.277,1798.4829
11530550,1117055020016,202011,3613.3705,2486.2273
11530550,1117055020101,202011,1172.8285,2777.3251
11530550,1117055020102,202011,493.6673,1099.691
11530550,1117055020103,202011,1431.2462,2112.5079
11530550,1117055020104,202011,1062.3461,1650.1058
11530550,1117055021001,202011,1023.0984,1422.9812
11530550,1117055021002,202011,188.5894,249.1995
11530550,1117055021003,202011,1169.9302,1640.1883
11530550,1117055021101,202011,1165.1574,2001.7269
11530550,1117055021102,202011,475.0267,1037.0119
11530550,1117055021103,202011,1866.4136,3414.5986
11530550,1117055021104,202011,789.3919,1377.2326
11530550,1117055021105,202011,1596.627,2774.6834
11530550,1117055021106,202011,1393.4685,2632.3908
11530550,1117055021107,202011,1594.0437,2818.9644
11530560,1.117056e+12,202011,1041504.2236,913580.9432
11530560,1117056010001,202011,9519.8777,4513.2468
11530560,1117056010002,202011,32041.0267,16382.2577
11530560,1117056010003,202011,16494.9836,8707.9598
11530560,1117056010004,202011,8706.2014,6659.0357
11530560,1117056010101,202011,6040.4168,9257.7051
11530560,1117056010201,202011,1321.6458,2138.8552
11530560,1117056010202,202011,2991.742,6773.4076
11530560,1117056010203,202011,905.4002,1510.3534
11530560,1117056010204,202011,1552.4091,3784.3598
11530560,1117056010205,202011,3720.1953,6864.4178
11530560,1117056010206,202011,1739.843,2437.8923
11530560,1117056010207,202011,1250.3235,2306.4406
11530560,1117056010401,202011,8696.8929,11784.3327
11530560,1117056010501,202011,5944.2992,5022.9511
11530560,1117056010502,202011,3920.5294,3443.1024
11530560,1117056010801,202011,6229.8533,12801.8551
11530560,1117056020001,202011,1108.7336,688.043
11530560,1117056020002,202011,1590.7563,2385.6356
11530560,1117056020003,202011,2897.6623,4957.8668
11530560,1117056020004,202011,1729.2897,2458.8612
11530560,1117056020005,202011,3742.6201,5073.0195
11530560,1117056020006,202011,3322.3459,5005.1719
11530560,1117056020007,202011,1409.854,1984.3967
11530560,1117056020008,202011,1869.0913,1939.989
11530560,1117056020009,202011,2950.3499,3161.0367
11530560,1117056020010,202011,20709.8265,9106.204
11530560,1117056020011,202011,27430.1709,9437.5854
11530560,1117056020101,202011,1746.8886,5815.4282
11530560,1117056020301,202011,3002.9118,5628.4044
11530560,1117056020401,202011,2176.324,5944.9859
11530560,1117056020601,202011,4392.6284,5760.6538
11530560,1117056020701,202011,755.3569,892.0249
11530560,1117056020702,202011,2422.3334,2361.1566
11530560,1117056020703,202011,1434.7325,2012.347
11530560,1117056020704,202011,896.4971,367.1268
11530560,1117056020801,202011,615.1237,1050.0682
11530560,1117056020901,202011,1227.9358,2822.574
11530560,1117056020902,202011,987.708,1474.594
11530560,1117056020903,202011,1230.1681,2274.5521
11530560,1117056021401,202011,568.5711,2057.2812
11530560,1117056030001,202011,2599.0611,4583.4874
